about|туралы|preposition|осы туралы if in help - about
utility|утилита|noun|protocol utility
valid|жарамды|adjective|valid address
value|мән|noun|
variable|айнымалы|noun|expression or console variable
vectorized|векторланған|adjective|vectorized output
vector|вектор|noun|
version|нұсқа|noun|
vertex|төбе|noun|
vertical|вертикалды|adjective|
vertices|төбелер|noun|line or polygon vertices
video|видео|noun|
view|көрініс|noun|file manager view mode
virtual|виртуалды|adjective|virtual layer or vector
visible|көрінетін|adjective|visible columns
voice|дауыс|noun|voice or voice/video feature
volume|дыбыс деңгейі|noun|
warm|жылы|adjective|warm color or tone
warning|ескерту|noun|
weak|әлсіз|adjective|weak signal or weak password
web|веб|noun|web browser or account
wellbeing|әл-ауқат|noun|digital wellbeing
white|ақ|adjective|
width|ені|noun|
window|терезе|noun|
wired|сымды|adjective|wired network
wireless|сымсыз|adjective|wireless device or network
workspace|жұмыс кеңістігі|noun|workspace setting
write-only|тек жазуға арналған|adjective|write-only permission
yards|ярд|noun|imperial length unit
yesterday|кеше|adverb|date label Yesterday
zero|нөл|noun|zero value
zoom|масштаб|noun|
